  ID    Name      CLA   OLA   Quiz   Homework   Exam   Bonus
c0801   Tony      10   15      4         15     56       3
c0802   Sam       9    12      2         11     46       2
c0803   Bradly    8    10      3         12     50       1
c0804   Joy       5     5      3         10     53       3
c0805   Kimberly  3    11      1         10     45       0
c0806   Mike      8    14      2         11     40       1
c0807   Henry     4    12      2         12     48       2
c0808   Katy     10    10      3         11     36       0
c0809   Charles   8     8      3         11     39       0
c0810   Noah      6     9      4          9     47       3
c0811   Henry     8     7      3         13     41       3
c0812   Alexander 4    11      3         11     37       1
c0813   Rihanna   9    15      2          8     50       2
c0814   Sophia    8    12      2         10     48       3
c0815   Jordan    6     8      1          7     45       1
c0816   Natalie   7     7      2          6     51       2
c0817   Matthew   8     9      2         12     38       2 
